date,p1_name,p2_name,pick,side,odds,stake,pnl,result,event_id
2026-04-14T00:00:00Z,Polasek Radovan,Wawrosz Pavel,Polasek Radovan,P1,3.0,160.0,320.0,WIN,6193273900751782166
2026-04-14T00:00:00Z,Polasek Radovan,Wawrosz Pavel,Polasek Radovan,P1,3.0,160.0,320.0,WIN,3911322454575939863
2026-04-14T00:00:00Z,Cetner Milan,Vladimir Svoboda,Cetner Milan,P1,1.556,80.0,-80.0,LOSS,957534423467819286
2026-04-13T07:00:00Z,Mecl Jr Jan,Ruzicka Jiri,Ruzicka Jiri,P2,9.0,25.0,-25.0,LOSS,7454830134353330480
2026-04-13T07:00:00Z,Mecl Jr Jan,Ruzicka Jiri,Ruzicka Jiri,P2,12.0,25.0,-25.0,LOSS,2847829959605616918
2026-04-13T07:00:00Z,Mecl Jr Jan,Ruzicka Jiri,Ruzicka Jiri,P2,11.0,50.0,-50.0,LOSS,8933783224874828055
2026-04-13T07:00:00Z,Mecl Jr Jan,Ruzicka Jiri,Mecl Jr Jan,P1,1.526,350.0,184.21,WIN,
2026-04-12T12:00:00Z,Regner Michal,Urbaniec Radim,Urbaniec Radim,P2,3.75,25.0,-25.0,LOSS,2068183342112702739
2026-04-12T12:00:00Z,Regner Michal,Urbaniec Radim,Urbaniec Radim,P2,1.417,400.0,-400.0,LOSS,2068183342112702740
2026-04-03T19:21:00Z,Vlastimil Kolar,Robin Pacha,Vlastimil Kolar,P1,1.83,400.0,333.33,WIN,2528344618257482033
2026-04-03T19:03:00Z,Vlastimil Kolar,Robin Pacha,Vlastimil Kolar,P1,1.83,351.0,292.5,WIN,4553389640685584689
2026-04-03T15:08:00Z,Martin Sobisek,Jakub Hradecky,Martin Sobisek,P1,2.05,350.0,0.0,CASHOUT,7868798838486729009
2026-04-03T11:22:00Z,Michal Vavrecka,Lukas Zeman,Michal Vavrecka,P1,1.8,400.0,-400.0,LOSS,1138823143880786198
2026-04-03T10:20:00Z,Martin Sychra,Viktor Vejvoda,Martin Sychra,P1,2.9,50.0,-50.0,LOSS,4726396630306259222
2026-04-03T10:16:00Z,Martin Sychra,Viktor Vejvoda,Martin Sychra,P1,2.5,25.0,-25.0,LOSS,1407191615570837782
2026-04-03T10:16:00Z,Martin Sychra,Viktor Vejvoda,Martin Sychra,P1,2.4,50.0,-50.0,LOSS,8236743220315422999
2026-04-03T10:14:00Z,Martin Sychra,Viktor Vejvoda,Martin Sychra,P1,2.3,25.0,-25.0,LOSS,7685506089386901783
2026-04-03T10:13:00Z,Martin Sychra,Viktor Vejvoda,Martin Sychra,P1,2.25,25.0,-25.0,LOSS,703688616869757206
2026-04-03T10:07:00Z,Martin Sychra,Viktor Vejvoda,Martin Sychra,P1,12.0,25.0,-25.0,LOSS,7999377832612593943
2026-04-02T16:15:00Z,Adam Brazda,Martin Sobisek,Martin Sobisek,P2,1.42,100.0,41.67,WIN,5207451589631148311
2026-04-02T16:15:00Z,Adam Brazda,Martin Sobisek,Martin Sobisek,P2,1.61,100.0,60.61,WIN,6804792395650171184
2026-04-02T16:11:00Z,Jan Stoch,Tomas Petrek,Tomas Petrek,P2,1.53,125.0,65.79,WIN,9071288968947040560
2026-04-02T16:09:00Z,Adam Brazda,Martin Sobisek,Martin Sobisek,P2,3.1,25.0,52.5,WIN,7209801764349018416
2026-04-02T16:07:00Z,Adam Brazda,Martin Sobisek,Martin Sobisek,P2,4.75,25.0,93.75,WIN,7277920345095536944
2026-04-02T16:04:00Z,Adam Brazda,Martin Sobisek,Martin Sobisek,P2,4.0,25.0,75.0,WIN,2553754012268757296
2026-04-02T16:04:00Z,Adam Brazda,Martin Sobisek,Martin Sobisek,P2,4.0,25.0,75.0,WIN,3908802037944549680
2026-04-01T19:00:00Z,Milan Kolar,Radek Bartunek,Milan Kolar,P1,1.65,250.0,161.29,WIN,3972217405626777878
2026-04-01T18:59:00Z,Milan Kolar,Radek Bartunek,Milan Kolar,P1,1.56,300.0,166.67,WIN,6986709402837451030
2026-04-01T15:23:00Z,Jakub Lauber,J. Belovsky,Jakub Lauber,P1,1.87,300.0,-300.0,LOSS,6156314700637405462
2026-04-01T15:22:00Z,Jakub Lauber,J. Belovsky,Jakub Lauber,P1,1.87,600.0,-600.0,LOSS,8386029723767144752
2026-04-01T05:49:00Z,Viktor Vejvoda,Jiri Zuzanek,Jiri Zuzanek,P2,2.4,425.0,595.0,WIN,153289500364243222
2026-03-31T18:11:00Z,David Heczko,Tomas Milkov,David Heczko,P1,1.74,100.0,74.07,WIN,5918867026327241008
2026-03-31T15:39:00Z,Tadeas Zika,Michal Cabis,Tadeas Zika,P1,2.0,600.0,-600.0,LOSS,6947100368996270384
2026-03-31T14:08:00Z,Tadeas Zika,Martin Skotnica,Tadeas Zika,P1,17.0,5.0,-5.0,LOSS,8561461056667517206
2026-03-31T14:07:00Z,Tadeas Zika,Martin Skotnica,Tadeas Zika,P1,9.5,5.0,-5.0,LOSS,5577391171807871255
2026-03-31T12:29:00Z,Viktor Vejvoda,Michal Regner,Michal Regner,P2,2.0,280.0,280.0,WIN,1016458830235697430
2026-03-30T22:56:00Z,Jan Steffan,Milan Smrcek,Jan Steffan,P1,2.15,100.0,-100.0,LOSS,6561366742118039857
2026-03-30T16:14:00Z,Jan Kanera,Jiri Ruzicka,Jan Kanera,P1,2.15,101.0,-101.0,LOSS,2801184329009594646
2026-03-30T15:24:00Z,BA Hoang Tai Nguyen,Julius Lazar,BA Hoang Tai Nguyen,P1,1.83,250.0,208.33,WIN,3624957286855868721
2026-03-30T15:05:00Z,BA Hoang Tai Nguyen,Julius Lazar,BA Hoang Tai Nguyen,P1,1.83,300.0,250.0,WIN,6934860089622921490
2026-03-30T14:45:00Z,Tadeas Zika,Adam Pokorny,Tadeas Zika,P1,2.5,250.0,-250.0,LOSS,7482472173664338195
2026-03-30T12:36:00Z,Sebastian Kasnik,Radim Urbaniec,Radim Urbaniec,P2,2.1,60.0,66.0,WIN,945374853207294226
2026-03-30T10:38:00Z,Alexandr Virag,Zbynek Zientek,Alexandr Virag,P1,1.57,75.0,42.86,WIN,5811386526843666706
2026-03-30T07:38:00Z,Matyas Kolek,Zbynek Zientek,Zbynek Zientek,P2,1.83,75.0,-75.0,LOSS,8291324278759096625
2026-03-30T07:38:00Z,Matyas Kolek,Zbynek Zientek,Zbynek Zientek,P2,2.35,25.0,-25.0,LOSS,8900952898826010929
2026-03-30T07:36:00Z,Matyas Kolek,Zbynek Zientek,Zbynek Zientek,P2,2.65,100.0,-100.0,LOSS,2844446479093989651
2026-03-29T22:40:00Z,Martin Skakal,Alesh Bayer,Martin Skakal,P1,1.53,200.0,105.26,WIN,2650694393975144753
2026-03-29T08:34:00Z,Jiri Zuzanek,Jiri Pozarsky,Jiri Zuzanek,P1,2.45,40.0,-40.0,LOSS,871419884620349714
2026-03-29T08:32:00Z,Jiri Zuzanek,Jiri Pozarsky,Jiri Zuzanek,P1,2.2,60.0,-60.0,LOSS,7593330950273106194
2026-03-28T20:10:00Z,Jiri Grohsgott,Pavel Berdych,Jiri Grohsgott,P1,3.75,25.0,68.75,WIN,8982932967634632983
